pmid,titre,revue,date,url,sujet
38748979,"Teratogenesis, Perinatal, and Neurodevelopmental Outcomes After In Utero Exposure to Antiseizure Medication: Practice Guideline From the AAN, AES, and SMFM.",Neurology,2024 Jun,https://pubmed.ncbi.nlm.nih.gov/38748979/,sport_grossesse_cerveau_bebe
31043758,Maternal and fetal genetic effects on birth weight and their relevance to cardio-metabolic risk factors.,Nature genetics,2019 May,https://pubmed.ncbi.nlm.nih.gov/31043758/,sport_grossesse_cerveau_bebe
33540766,"Creatine Metabolism in Female Reproduction, Pregnancy and Newborn Health.",Nutrients,2021 Feb 2,https://pubmed.ncbi.nlm.nih.gov/33540766/,sport_grossesse_cerveau_bebe
26805461,Fetal and maternal cardiac responses to physical activity and exercise during pregnancy.,Early human development,2016 Mar,https://pubmed.ncbi.nlm.nih.gov/26805461/,sport_grossesse_cerveau_bebe
40947085,Impact of exercise training during pregnancy on maternal biomarkers: a systematic review.,American journal of obstetrics and gynecology,2026 Jan,https://pubmed.ncbi.nlm.nih.gov/40947085/,sport_grossesse_cerveau_bebe
29587861,Pretreatment with coenzyme Q10 improves ovarian response and embryo quality in low-prognosis young women with decreased ovarian reserve: a randomized controlled trial.,Reproductive biology and endocrinology : RB&E,2018 Mar 27,https://pubmed.ncbi.nlm.nih.gov/29587861/,coq10_reserve_ovarienne
39129455,Clinical evidence of coenzyme Q10 pretreatment for women with diminished ovarian reserve undergoing IVF/ICSI: a systematic review and meta-analysis.,Annals of medicine,2024 Dec,https://pubmed.ncbi.nlm.nih.gov/39129455/,coq10_reserve_ovarienne
39019217,Antioxidants and Fertility in Women with Ovarian Aging: A Systematic Review and Meta-Analysis.,"Advances in nutrition (Bethesda, Md.)",2024 Aug,https://pubmed.ncbi.nlm.nih.gov/39019217/,coq10_reserve_ovarienne
41800295,Coenzyme Q10 Impact on Ovarian Reserve Measures and the Intra-Cytoplasmic Sperm Injection (ICSI) Outcomes in Women with Poor Ovarian Response: A Randomized Controlled Study.,"Drug design, development and therapy",2026,https://pubmed.ncbi.nlm.nih.gov/41800295/,coq10_reserve_ovarienne
39648702,"The effect of coenzyme Q10 pretreatment on ovarian reserve in women undergoing hysterectomy with bilateral salpingectomy: a randomised, double-blind, placebo-controlled trial.",The British journal of nutrition,2025 Jan 28,https://pubmed.ncbi.nlm.nih.gov/39648702/,coq10_reserve_ovarienne
41090426,"Endometrial Steroid Receptor Dysregulation and Its Association with Vitamin D, AMH, and Inflammation in Recurrent Implantation Failure: A Case-Control Study.",International journal of fertility & sterility,2025 Sep 30,https://pubmed.ncbi.nlm.nih.gov/41090426/,vitamine_d_implantation
37693363,The role of serum vitamin D in patients with normal ovarian reserve undergoing the first IVF/ICSI cycle.,Frontiers in endocrinology,2023,https://pubmed.ncbi.nlm.nih.gov/37693363/,vitamine_d_implantation
36248036,Induction of Endometrial HOXA 10 Gene Expression by Vitamin D and its Possible Influence on Reproductive Outcome of PCOS Patients Undergoing Ovulation Induction Procedure.,Indian journal of endocrinology and metabolism,2022 May-Jun,https://pubmed.ncbi.nlm.nih.gov/36248036/,vitamine_d_implantation
28904494,Vitamin D Deficiency Does Not Influence Reproductive Outcomes of IVF-ICSI: A Study of Oocyte Donors and Recipients.,Journal of human reproductive sciences,2017 Apr-Jun,https://pubmed.ncbi.nlm.nih.gov/28904494/,vitamine_d_implantation
39829955,The association between Vitamin D deficiency and clinical pregnancy rate in IVF patients with different age.,Frontiers in endocrinology,2024,https://pubmed.ncbi.nlm.nih.gov/39829955/,vitamine_d_implantation
40473092,Preconception and first-trimester metformin on pregnancy outcomes in women with polycystic ovary syndrome: a systematic review and meta-analysis.,American journal of obstetrics and gynecology,2025 Dec,https://pubmed.ncbi.nlm.nih.gov/40473092/,preconception_sante
40185642,Associations Between Modifiable Preconception Care Indicators and Pregnancy Outcomes.,Journal of the American Board of Family Medicine : JABFM,2025 May 12,https://pubmed.ncbi.nlm.nih.gov/40185642/,preconception_sante
20100361,Preconception care.,Obstetrical & gynecological survey,2010 Feb,https://pubmed.ncbi.nlm.nih.gov/20100361/,preconception_sante
33914901,Preconception lifestyle advice for people with infertility.,The Cochrane database of systematic reviews,2021 Apr 29,https://pubmed.ncbi.nlm.nih.gov/33914901/,preconception_sante
26888948,"The EULAR points to consider for use of antirheumatic drugs before pregnancy, and during pregnancy and lactation.",Annals of the rheumatic diseases,2016 May,https://pubmed.ncbi.nlm.nih.gov/26888948/,preconception_sante
40049187,"Atosiban versus placebo for threatened preterm birth (APOSTEL 8): a multicentre, randomised controlled trial.","Lancet (London, England)",2025 Mar 22,https://pubmed.ncbi.nlm.nih.gov/40049187/,perinatalite
39394444,Maternal adiposity and perinatal and offspring outcomes: an umbrella review.,Nature human behaviour,2024 Dec,https://pubmed.ncbi.nlm.nih.gov/39394444/,perinatalite
34434079,Resilience and Stress during Pregnancy: A Comprehensive Multidimensional Approach in Maternal and Perinatal Health.,TheScientificWorldJournal,2021,https://pubmed.ncbi.nlm.nih.gov/34434079/,perinatalite
38785109,"Climate change, air pollution and maternal and newborn health: An overview of reviews of health outcomes.",Journal of global health,2024 May 24,https://pubmed.ncbi.nlm.nih.gov/38785109/,perinatalite
34060788,Out-of-Hospital Birth.,American family physician,2021 Jun 1,https://pubmed.ncbi.nlm.nih.gov/34060788/,perinatalite
20089454,Effect of N-acetyl-cysteine after ovarian drilling in clomiphene citrate-resistant PCOS women: a pilot study.,Reproductive biomedicine online,2010 Mar,https://pubmed.ncbi.nlm.nih.gov/20089454/,nac_fertilite
22540635,N-Acetylcysteine as an adjuvant to clomiphene citrate for successful induction of ovulation in infertile patients with polycystic ovary syndrome.,The journal of obstetrics and gynaecology research,2012 Sep,https://pubmed.ncbi.nlm.nih.gov/22540635/,nac_fertilite
15705376,N-acetyl-cysteine is a novel adjuvant to clomiphene citrate in clomiphene citrate-resistant patients with polycystic ovary syndrome.,Fertility and sterility,2005 Feb,https://pubmed.ncbi.nlm.nih.gov/15705376/,nac_fertilite
21744744,Effects of myo-inositol supplementation on oocyte's quality in PCOS patients: a double blind trial.,European review for medical and pharmacological sciences,2011 May,https://pubmed.ncbi.nlm.nih.gov/21744744/,myo_inositol_fertilite
32542134,Myo-Inositol's Role in Assisted Reproductive Technology: Evidence for Improving the Quality of Oocytes and Embryos in Patients With Polycystic Ovary Syndrome.,Cureus,2020 May 12,https://pubmed.ncbi.nlm.nih.gov/32542134/,myo_inositol_fertilite
42451096,Effect of Myo-Inositol Supplementation in Polycystic Ovary Syndrome-Scoping Review.,Nutrients,2026 Jun 26,https://pubmed.ncbi.nlm.nih.gov/42451096/,myo_inositol_fertilite
33468143,Impact of myo-inositol treatment in women with polycystic ovary syndrome in assisted reproductive technologies.,Reproductive health,2021 Jan 19,https://pubmed.ncbi.nlm.nih.gov/33468143/,myo_inositol_fertilite
33877679,The effects of myo-inositol vs. metformin on the ovarian function in the polycystic ovary syndrome: a systematic review and meta-analysis.,European review for medical and pharmacological sciences,2021 Apr,https://pubmed.ncbi.nlm.nih.gov/33877679/,myo_inositol_fertilite
39579343,Pyrroloquinoline-quinone supplementation restores ovarian function and oocyte quality in a mouse model of advanced maternal age†.,Biology of reproduction,2025 Feb 14,https://pubmed.ncbi.nlm.nih.gov/39579343/,pqq_fertilite
42226245,Pyrroloquinoline quinone protects heat-stressed porcine oocytes and improves early embryonic development via maintaining mitochondrial integrity and redox homeostasis.,Biology direct,2026 May 31,https://pubmed.ncbi.nlm.nih.gov/42226245/,pqq_fertilite
33385538,Adverse effect of superoxide-induced mitochondrial damage in granulosa cells on follicular development in mouse ovaries.,Free radical biology & medicine,2021 Feb 1,https://pubmed.ncbi.nlm.nih.gov/33385538/,pqq_fertilite
42500134,Serum anti-Müllerian hormone response to pyrroloquinoline quinone supplementation in healthy women: no overall change and exploratory subgroup findings.,Frontiers in endocrinology,2026,https://pubmed.ncbi.nlm.nih.gov/42500134/,pqq_fertilite
30480773,Omega-3 fatty acid addition during pregnancy.,The Cochrane database of systematic reviews,2018 Nov 15,https://pubmed.ncbi.nlm.nih.gov/30480773/,omega3_dha_grossesse
33255561,Maternal Docosahexaenoic Acid Status during Pregnancy and Its Impact on Infant Neurodevelopment.,Nutrients,2020 Nov 25,https://pubmed.ncbi.nlm.nih.gov/33255561/,omega3_dha_grossesse
39396702,Maternal high-dose docosahexaenoic acid supplementation and neurodevelopment at 5 Years of preterm children.,Clinical nutrition ESPEN,2024 Dec,https://pubmed.ncbi.nlm.nih.gov/39396702/,omega3_dha_grossesse
38061271,Arachidonic and docosahexaenoic acid supplementation and brain maturation in preterm infants; a double blind RCT.,"Clinical nutrition (Edinburgh, Scotland)",2024 Jan,https://pubmed.ncbi.nlm.nih.gov/38061271/,omega3_dha_grossesse
28599630,Omega-3 supplementation from pregnancy to postpartum to prevent depressive symptoms: a randomized placebo-controlled trial.,BMC pregnancy and childbirth,2017 Jun 9,https://pubmed.ncbi.nlm.nih.gov/28599630/,omega3_dha_grossesse
36833413,Impact of Advanced Paternal Age on Fertility and Risks of Genetic Disorders in Offspring.,Genes,2023 Feb 14,https://pubmed.ncbi.nlm.nih.gov/36833413/,age_paternel_qualite_sperme
33183337,"Advanced paternal age: effects on sperm parameters, assisted reproduction outcomes and offspring health.",Reproductive biology and endocrinology : RB&E,2020 Nov 13,https://pubmed.ncbi.nlm.nih.gov/33183337/,age_paternel_qualite_sperme
24958072,Delayed fatherhood.,The journal of family planning and reproductive health care,2014 Oct,https://pubmed.ncbi.nlm.nih.gov/24958072/,age_paternel_qualite_sperme
